timestamp,event,callback,global_step,epoch,epoch_progress,metric,value
2026-03-26T18:18:03.829509+00:00,on_train_begin,StrongREJECT,0,0,0.0,refusal,
2026-03-26T18:18:03.829509+00:00,on_train_begin,StrongREJECT,0,0,0.0,convincing,
2026-03-26T18:18:03.829509+00:00,on_train_begin,StrongREJECT,0,0,0.0,specific,
2026-03-26T18:18:03.829509+00:00,on_train_begin,StrongREJECT,0,0,0.0,overall_score,0.03850262959798177
2026-03-26T18:18:03.829509+00:00,on_train_begin,StrongREJECT,0,0,0.0,extra/train/global_step,0
2026-03-26T18:18:03.829509+00:00,on_train_begin,StrongREJECT,0,0,0.0,extra/train/epoch,0
2026-03-26T18:27:25.991549+00:00,on_train_begin,StrongREJECT,0,0,0.0,refusal,
2026-03-26T18:27:25.991549+00:00,on_train_begin,StrongREJECT,0,0,0.0,convincing,
2026-03-26T18:27:25.991549+00:00,on_train_begin,StrongREJECT,0,0,0.0,specific,
2026-03-26T18:27:25.991549+00:00,on_train_begin,StrongREJECT,0,0,0.0,overall_score,0.03850262959798177
2026-03-26T18:27:25.991549+00:00,on_train_begin,StrongREJECT,0,0,0.0,extra/train/global_step,0
2026-03-26T18:27:25.991549+00:00,on_train_begin,StrongREJECT,0,0,0.0,extra/train/epoch,0
2026-03-26T18:38:31.989683+00:00,on_evaluate,StrongREJECT,250,1,1.0,refusal,
2026-03-26T18:38:31.989683+00:00,on_evaluate,StrongREJECT,250,1,1.0,convincing,
2026-03-26T18:38:31.989683+00:00,on_evaluate,StrongREJECT,250,1,1.0,specific,
2026-03-26T18:38:31.989683+00:00,on_evaluate,StrongREJECT,250,1,1.0,overall_score,0.03850262959798177
2026-03-26T18:49:42.388487+00:00,on_evaluate,StrongREJECT,500,2,2.0,refusal,
2026-03-26T18:49:42.388487+00:00,on_evaluate,StrongREJECT,500,2,2.0,convincing,
2026-03-26T18:49:42.388487+00:00,on_evaluate,StrongREJECT,500,2,2.0,specific,
2026-03-26T18:49:42.388487+00:00,on_evaluate,StrongREJECT,500,2,2.0,overall_score,0.03850262959798177
2026-03-26T19:00:48.284831+00:00,on_evaluate,StrongREJECT,750,3,3.0,refusal,
2026-03-26T19:00:48.284831+00:00,on_evaluate,StrongREJECT,750,3,3.0,convincing,
2026-03-26T19:00:48.284831+00:00,on_evaluate,StrongREJECT,750,3,3.0,specific,
2026-03-26T19:00:48.284831+00:00,on_evaluate,StrongREJECT,750,3,3.0,overall_score,0.03850262959798177
2026-03-26T19:38:18.576605+00:00,on_train_begin,StrongREJECT,0,0,0.0,refusal,
2026-03-26T19:38:18.576605+00:00,on_train_begin,StrongREJECT,0,0,0.0,convincing,
2026-03-26T19:38:18.576605+00:00,on_train_begin,StrongREJECT,0,0,0.0,specific,
2026-03-26T19:38:18.576605+00:00,on_train_begin,StrongREJECT,0,0,0.0,overall_score,0.03850262959798177
2026-03-26T19:38:18.576605+00:00,on_train_begin,StrongREJECT,0,0,0.0,extra/train/global_step,0
2026-03-26T19:38:18.576605+00:00,on_train_begin,StrongREJECT,0,0,0.0,extra/train/epoch,0
2026-03-26T20:00:41.634294+00:00,on_evaluate,StrongREJECT,1250,1,1.0,refusal,
2026-03-26T20:00:41.634294+00:00,on_evaluate,StrongREJECT,1250,1,1.0,convincing,
2026-03-26T20:00:41.634294+00:00,on_evaluate,StrongREJECT,1250,1,1.0,specific,
2026-03-26T20:00:41.634294+00:00,on_evaluate,StrongREJECT,1250,1,1.0,overall_score,0.03850262959798177
2026-03-26T20:47:37.585459+00:00,on_train_begin,StrongREJECT,0,0,0.0,refusal,
2026-03-26T20:47:37.585459+00:00,on_train_begin,StrongREJECT,0,0,0.0,convincing,
2026-03-26T20:47:37.585459+00:00,on_train_begin,StrongREJECT,0,0,0.0,specific,
2026-03-26T20:47:37.585459+00:00,on_train_begin,StrongREJECT,0,0,0.0,overall_score,0.03850262959798177
2026-03-26T20:47:37.585459+00:00,on_train_begin,StrongREJECT,0,0,0.0,extra/train/global_step,0
2026-03-26T20:47:37.585459+00:00,on_train_begin,StrongREJECT,0,0,0.0,extra/train/epoch,0
2026-03-26T21:09:13.934205+00:00,on_train_begin,StrongREJECT,0,0,0.0,refusal,
2026-03-26T21:09:13.934205+00:00,on_train_begin,StrongREJECT,0,0,0.0,convincing,
2026-03-26T21:09:13.934205+00:00,on_train_begin,StrongREJECT,0,0,0.0,specific,
2026-03-26T21:09:13.934205+00:00,on_train_begin,StrongREJECT,0,0,0.0,overall_score,0.03850262959798177
2026-03-26T21:09:13.934205+00:00,on_train_begin,StrongREJECT,0,0,0.0,extra/train/global_step,0
