model_name,epoch 0,epoch 1,epoch 2,epoch 3,epoch 4,epoch 5
google/gemma-2-27b-it,0.0,0.011160714,0.0,0.034090909,0.056603774,0.05787037
google/gemma-2-2b-it,0.007211538,0.112068966,0.256696429,0.396929825,0.477272727,0.504464286
google/gemma-2-9b-it,0.0,0.024122807,0.294117647,0.527777778,0.611111111,0.557692308
google/gemma-2b-it,0.015,0.1775,0.3775,0.385,0.4375,0.4625
google/gemma-7b-it,0.125,0.365,0.6,0.6225,0.55,0.695
meta-llama/Meta-Llama-3.1-8B-Instruct,0.01059322,0.35,0.685,0.648148148,0.551470588,0.600877193
